sr,isin,is_equity,nse_symbol,bse_code,bse_ticker,company_name,listed_on,segment,nse_series,bse_group,bse_status
4349,INE640A01023,Y,SKFINDIA,500472,SKFINDIA,SKF India Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
4350,INE2J8701016,Y,SKFINDUS,544572,SKFINDUS,SKF India (Industrial) Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4351,INE04ST01013,Y,,542728,SKIEL,SK International Export Limited,BSE only,BSE Equity,,MT,Active
4352,INE951Z01013,Y,,542146,SKIFL,Shree Krishna Infrastructure Limited,BSE only,BSE Equity,,M,Active
4353,INE439E01022,Y,SKIPPER,538562,SKIPPER,Skipper Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4354,INE459U01018,Y,,540269,SKL,SUPER FINE KNITTERS LIMITED,BSE only,BSE Equity,,MT,Active
4355,INE13YH01017,Y,,544584,SKM,SK Minerals & Additives Limited,BSE only,BSE Equity,,MT,Active
4356,INE411D01023,Y,SKMEGGPROD,532143,SKMEGGPROD,SKM Egg Products Export (India) Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4357,INE0KZA01016,Y,SKP,,,SKP Bearing Industries Limited,NSE only,NSE SME (Emerge),SM,,
4358,INE970C01012,Y,,500388,SKPMIL,Shree Krishna Paper Mills & Industr,BSE only,BSE Equity,,XT,Active
4359,INE709B01016,Y,,531169,SKPSEC,SKP Securities Ltd.,BSE only,BSE Equity,,X,Active
4360,INE561E01015,Y,,531506,SKRABUL,Shukra Bullions Limited,BSE only,BSE Equity,,X,Active
4361,INE393H01016,Y,,512036,SKYBIOTECH,SKYBIOTECH HEALTHCARE LIMITED,BSE only,BSE Equity,,X,Active
4362,INE01IU01018,Y,SKYGOLD,541967,SKYGOLD,SKY GOLD AND DIAMONDS LIMITED,NSE+BSE,NSE Mainboard,EQ,A,Active
4363,INE765B01018,Y,,526479,SKYIND,Sky Industries Ltd,BSE only,BSE Equity,,X,Active
4364,INE178E01026,Y,,505650,SKYLMILAR,Skyline Millars Ltd,BSE only,BSE Equity,,X,Active
